DateTime,CO2
1/1/2024 23:35,567
1/1/2024 23:40,570
1/1/2024 23:45,569
1/1/2024 23:50,574
1/1/2024 23:55,575
1/2/2024 0:00,577
1/2/2024 0:05,565
1/2/2024 0:10,559
1/2/2024 0:15,558
1/2/2024 0:20,544
1/2/2024 0:25,559
1/2/2024 0:30,561
1/2/2024 0:35,545
1/2/2024 0:40,549
1/2/2024 0:45,553
1/2/2024 0:50,550
1/2/2024 0:55,544
1/2/2024 1:00,548
1/2/2024 1:05,550
1/2/2024 1:10,554
1/2/2024 1:15,549
1/2/2024 1:20,544
1/2/2024 1:25,554
1/2/2024 1:30,544
1/2/2024 1:35,541
1/2/2024 1:40,539
1/2/2024 1:45,538
1/2/2024 1:50,536
1/2/2024 1:55,534
1/2/2024 2:00,539
1/2/2024 2:05,544
1/2/2024 2:10,546
1/2/2024 2:15,555
1/2/2024 2:20,560
1/2/2024 2:25,559
1/2/2024 2:30,564
1/2/2024 2:35,569
1/2/2024 2:40,580
1/2/2024 2:45,579
1/2/2024 2:50,569
1/2/2024 2:55,573
1/2/2024 3:00,570
1/2/2024 3:05,567
1/2/2024 3:10,564
1/2/2024 3:15,560
1/2/2024 3:20,564
1/2/2024 3:25,559
1/2/2024 3:30,564
1/2/2024 3:35,569
1/2/2024 3:40,574
1/2/2024 3:45,579
1/2/2024 3:50,574
1/2/2024 3:55,562
1/2/2024 4:00,556
1/2/2024 4:05,566
1/2/2024 4:10,556
1/2/2024 4:15,554
1/2/2024 4:20,551
1/2/2024 4:25,562
1/2/2024 4:30,561
1/2/2024 4:35,558
1/2/2024 4:40,556
1/2/2024 4:45,561
1/2/2024 4:50,558
1/2/2024 4:55,557
1/2/2024 5:00,556
1/2/2024 5:05,556
1/2/2024 5:10,555
1/2/2024 5:15,553
1/2/2024 5:20,552
1/2/2024 5:25,551
1/2/2024 5:30,546
1/2/2024 5:35,556
1/2/2024 5:40,551
1/2/2024 5:45,558
1/2/2024 5:50,556
1/2/2024 5:55,552
1/2/2024 6:00,551
1/2/2024 6:05,558
1/2/2024 6:10,582
1/2/2024 6:15,580
1/2/2024 6:20,582
1/2/2024 6:25,583
1/2/2024 6:30,585
1/2/2024 6:35,594
1/2/2024 6:40,601
1/2/2024 6:45,616
1/2/2024 6:50,612
1/2/2024 6:55,610
1/2/2024 7:00,605
1/2/2024 7:05,601
1/2/2024 7:10,594
1/2/2024 7:15,596
1/2/2024 7:20,603
1/2/2024 7:25,608
1/2/2024 7:30,612
1/2/2024 7:35,608
1/2/2024 7:40,603
1/2/2024 7:45,598
1/2/2024 7:50,592
1/2/2024 7:55,587
1/2/2024 8:00,583
1/2/2024 8:05,575
1/2/2024 8:10,579
1/2/2024 8:15,574
1/2/2024 8:20,569
1/2/2024 8:25,564
1/2/2024 8:30,562
1/2/2024 8:35,556
1/2/2024 8:40,565
1/2/2024 8:45,564
1/2/2024 8:50,558
1/2/2024 8:55,559
1/2/2024 9:00,555
1/2/2024 9:05,554
1/2/2024 9:10,559
1/2/2024 9:15,564
1/2/2024 9:20,564
1/2/2024 9:25,568
1/2/2024 9:30,571
1/2/2024 9:35,569
1/2/2024 9:40,565
1/2/2024 9:45,564
1/2/2024 9:50,570
1/2/2024 9:55,574
1/2/2024 10:00,570
1/2/2024 10:05,575
1/2/2024 10:10,580
1/2/2024 10:15,576
1/2/2024 10:20,575
1/2/2024 10:25,579
1/2/2024 10:30,581
1/2/2024 10:35,585
1/2/2024 10:40,584
1/2/2024 10:45,597
1/2/2024 10:50,595
1/2/2024 10:55,602
1/2/2024 11:00,612
1/2/2024 11:05,626
1/2/2024 11:10,616
1/2/2024 11:15,614
1/2/2024 11:20,608
1/2/2024 11:25,604
1/2/2024 11:30,602
1/2/2024 11:35,599
1/2/2024 11:40,594
1/2/2024 11:45,592
1/2/2024 11:50,601
1/2/2024 11:55,603
1/2/2024 12:00,604
1/2/2024 12:05,607
1/2/2024 12:10,609
1/2/2024 12:15,614
1/2/2024 12:20,618
1/2/2024 12:25,619
1/2/2024 12:30,624
1/2/2024 12:35,627
1/2/2024 12:40,631
1/2/2024 12:45,627
1/2/2024 12:50,624
1/2/2024 12:55,618
1/2/2024 13:00,614
1/2/2024 13:05,609
1/2/2024 13:10,604
1/2/2024 13:15,594
1/2/2024 13:20,589
1/2/2024 13:25,585
1/2/2024 13:30,582
1/2/2024 13:35,578
1/2/2024 13:40,577
1/2/2024 13:45,579
1/2/2024 13:50,575
1/2/2024 13:55,567
1/2/2024 14:00,570
1/2/2024 14:05,569
1/2/2024 14:10,573
1/2/2024 14:15,574
1/2/2024 14:20,579
1/2/2024 14:25,585
1/2/2024 14:30,591
1/2/2024 14:35,610
1/2/2024 14:40,622
1/2/2024 14:45,635
1/2/2024 14:50,649
1/2/2024 14:55,658
1/2/2024 15:00,672
1/2/2024 15:05,659
1/2/2024 15:10,651
1/2/2024 15:15,644
1/2/2024 15:20,637
1/2/2024 15:25,631
1/2/2024 15:30,627
1/2/2024 15:35,623
1/2/2024 15:40,618
1/2/2024 15:45,612
1/2/2024 15:50,605
1/2/2024 15:55,597
1/2/2024 16:00,591
1/2/2024 16:05,584
1/2/2024 16:10,581
1/2/2024 16:15,576
1/2/2024 16:20,569
1/2/2024 16:25,571
1/2/2024 16:30,563
1/2/2024 16:35,562
1/2/2024 16:40,560
1/2/2024 16:45,567
1/2/2024 16:50,564
1/2/2024 16:55,560
1/2/2024 17:00,559
1/2/2024 17:05,557
1/2/2024 17:10,550
1/2/2024 17:15,554
1/2/2024 17:20,550
1/2/2024 17:25,556
1/2/2024 17:30,552
1/2/2024 17:35,551
1/2/2024 17:40,550
1/2/2024 17:45,565
1/2/2024 17:50,560
1/2/2024 17:55,548
1/2/2024 18:00,546
1/2/2024 18:05,555
1/2/2024 18:10,552
1/2/2024 18:15,555
1/2/2024 18:20,554
1/2/2024 18:25,550
1/2/2024 18:30,548
1/2/2024 18:35,547
1/2/2024 18:40,555
1/2/2024 18:45,555
1/2/2024 18:50,552
1/2/2024 18:55,555
1/2/2024 19:00,555
1/2/2024 19:05,560
1/2/2024 19:10,561
1/2/2024 19:15,560
1/2/2024 19:20,558
1/2/2024 19:25,555
1/2/2024 19:30,558
